number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,house_age,years_since_renovation
4,2.25,2000,3800,2.0,0,0,3,8,2000,0,122006,52.9152,-114.501,1610,3800,2,76,815000,23,23
3,2.25,2550,9674,1.0,0,0,3,7,1850,700,122063,52.7156,-114.437,2240,9674,3,60,355000,65,65
3,1.0,1390,9112,1.0,0,0,4,7,1390,0,122048,52.8371,-114.387,2290,9112,3,61,745000,73,73
3,2.03,2473,725,1.61,1,1,3,7,1820,331,122027,52.8,-114.38,1877,16130,2,63,1041384,48,45
3,2.23,2046,8545,1.37,1,1,3,7,1693,362,122039,52.83,-114.43,1850,7131,2,64,887452,49,54
3,1.75,1420,3000,1.0,0,0,3,5,710,710,122063,52.7228,-114.464,1960,5000,1,55,230000,93,10
4,3.0,3130,5700,1.5,0,0,3,7,1750,1380,122006,52.9111,-114.473,2080,5700,1,63,671000,71,71
4,2.5,3570,6218,2.0,0,0,3,9,3570,0,122005,52.9346,-114.313,3230,5972,3,62,942990,10,10
4,2.75,2780,6207,2.0,0,0,3,8,2780,0,122045,52.9167,-114.228,2660,5592,3,79,705000,23,23
2,1.5,1000,5125,1.0,0,0,3,7,1000,0,122028,52.9226,-114.537,1090,5100,2,66,488000,82,56
3,2.08,1930,7309,1.43,1,1,3,7,1943,435,122036,52.82,-114.4,2023,8753,1,65,689773,48,48
2,1.0,840,8100,1.0,0,0,4,7,840,0,122050,52.9319,-114.556,1100,8220,2,54,401000,76,76
3,2.0,1770,6610,1.0,0,0,4,7,960,810,122038,53.0003,-114.533,2010,4361,3,63,449500,70,70
3,2.22,2075,15654,1.42,1,1,3,7,1920,302,122039,52.79,-114.39,1967,13439,2,61,845834,60,48
4,2.5,2550,10000,1.0,0,0,3,8,1290,1260,122030,52.8508,-114.331,2270,8640,3,57,660000,60,60
3,2.14,2242,27742,1.36,1,1,3,7,1866,272,122031,52.79,-114.4,2233,15401,1,66,967519,53,45
3,2.05,2211,14260,1.58,1,1,3,7,1762,342,122041,52.82,-114.37,1984,10422,1,64,992092,46,54
3,2.33,2089,18033,1.29,1,1,3,7,1855,411,122039,52.79,-114.39,1843,19457,2,66,852416,53,55
3,1.94,2229,23568,1.53,1,1,3,7,1954,420,122027,52.81,-114.37,1984,13396,1,67,990495,47,49
3,2.02,2214,18338,1.47,1,1,3,7,1981,237,122032,52.79,-114.43,2011,14626,2,67,942380,46,49
3,2.08,1813,9575,1.56,1,1,3,7,1949,350,122032,52.81,-114.43,2109,11684,1,64,687525,49,44
3,2.09,2093,22385,1.52,1,1,3,7,1929,278,122028,52.8,-114.4,2028,6752,1,63,878665,55,52
3,1.0,1500,6600,1.0,0,0,2,6,1500,0,122056,52.7145,-114.52,1730,6600,3,79,243000,54,54
3,2.14,2126,14992,1.46,1,1,3,7,1659,367,122031,52.78,-114.4,2083,11569,2,68,908028,54,57
3,2.1,2076,7597,1.36,1,1,3,7,1698,262,122034,52.74,-114.38,2074,17025,1,66,531837,52,52
4,2.0,1980,23625,2.0,0,0,3,8,1980,0,122021,52.9853,-114.282,2300,24640,1,57,659000,86,40
3,2.33,1911,16753,1.46,1,1,3,7,1950,198,122033,52.79,-114.4,1862,19165,2,64,565933,55,49
2,2.1,2202,17521,1.5,1,1,3,7,1749,318,122029,52.81,-114.43,2085,16551,2,67,1025739,54,45
5,2.5,2600,4284,2.0,0,0,3,9,2600,0,122016,52.7709,-114.58,1620,5000,3,60,775000,10,10
3,2.5,1280,1920,3.0,0,0,3,8,1280,0,122004,52.8921,-114.514,1450,1900,2,64,552000,15,15
3,1.75,1350,8548,1.0,0,0,3,7,1350,0,122040,52.5479,-114.52,1660,8538,2,71,250000,39,39
5,2.5,3160,5635,2.0,0,0,3,9,3160,0,122012,52.7662,-114.257,3670,6087,3,65,685000,21,21
4,2.5,2630,6326,2.0,0,0,3,9,2630,0,122008,52.7522,-114.064,3240,6229,2,68,589500,16,16
3,1.95,2092,15504,1.62,1,1,3,7,1759,226,122028,52.84,-114.41,2262,8433,1,66,959178,49,51
2,1.0,1010,3885,1.5,0,0,4,7,1010,0,122047,52.8524,-114.494,1770,4200,1,65,500000,118,34
5,3.25,3710,34200,2.0,0,0,3,8,2510,1200,122019,52.8401,-114.237,1720,23100,3,53,635000,38,38
5,3.25,5270,17232,2.0,0,1,3,10,4010,1260,122057,52.7836,-114.418,3550,13917,3,57,1800000,47,21
3,2.17,1868,15923,1.48,1,1,3,7,1656,333,122032,52.78,-114.43,2089,10276,2,63,551404,62,63
3,2.06,2041,17158,1.74,1,1,3,7,1868,251,122033,52.8,-114.41,1944,12013,2,63,849319,52,50
4,1.5,1600,9289,1.0,0,0,4,7,1600,0,122072,52.5407,-114.402,1540,9918,2,66,224000,65,65
4,3.0,3060,5000,2.0,0,0,3,8,3060,0,122035,52.6086,-114.316,3060,5668,2,58,399000,23,23
4,4.0,2790,16117,2.0,0,0,4,9,2790,0,122049,52.8333,-114.345,2740,25369,1,69,865000,25,25
3,1.75,2000,36000,1.0,0,0,3,6,2000,0,122053,52.7517,-114.372,2100,9681,2,53,443950,78,29
4,2.5,2290,10186,2.0,0,0,3,8,2290,0,122029,52.8653,-114.314,2150,10186,3,62,650000,39,39
3,2.17,2053,18150,1.52,1,1,3,7,1746,281,122031,52.84,-114.4,2022,9589,1,64,930204,48,44
4,2.75,2390,9650,1.0,0,2,3,8,1620,770,122040,52.5738,-114.512,2390,10000,2,71,379750,48,48
3,2.23,2072,19991,1.48,1,1,3,7,1885,370,122034,52.81,-114.41,2051,11149,2,65,925092,54,55
3,2.27,1811,24072,1.49,1,1,3,7,1821,345,122029,52.77,-114.38,2047,18818,2,65,532527,53,52
3,2.23,2315,26461,1.63,1,1,3,7,1734,183,122037,52.81,-114.37,1921,5392,2,63,1020347,52,57
4,2.5,2820,15233,1.0,0,2,4,9,1820,1000,122040,52.5726,-114.511,2560,11998,1,80,450000,52,52
3,2.25,2175,1,1.55,1,1,3,7,1700,308,122032,52.81,-114.37,2092,16720,1,65,994620,62,45
3,1.0,1330,9620,1.0,0,0,5,6,1330,0,122023,52.5474,-114.317,1300,10360,1,61,206990,48,48
3,2.23,2350,8797,1.35,1,1,3,7,1762,358,122031,52.78,-114.4,1837,21009,2,63,990557,47,45
3,1.94,2077,9785,1.46,1,1,3,8,1771,305,122033,52.82,-114.38,1926,9500,1,64,1001804,45,50
3,2.16,2341,8239,1.47,1,1,3,7,1872,301,122023,52.79,-114.43,1781,14571,2,67,975947,49,45
3,1.0,1840,5000,1.0,0,0,4,7,920,920,122031,52.685,-114.54,1250,8100,3,70,185000,71,71
3,1.75,1440,8050,1.0,0,0,3,8,1440,0,122018,52.5487,-114.58,1790,7488,3,57,258950,39,39
3,2.22,2085,17371,1.46,1,1,3,7,1869,336,122034,52.77,-114.42,1896,14187,2,63,842511,59,56
4,2.5,2500,11070,1.0,0,2,4,8,1300,1200,122040,52.566,-114.524,2500,11070,2,77,380000,60,60
3,2.34,2120,16674,1.53,1,1,3,7,1793,284,122038,52.78,-114.41,1956,10221,1,63,884454,54,46
3,2.24,2267,20548,1.5,1,1,3,7,1995,223,122036,52.77,-114.4,1955,11515,1,65,962310,57,56
3,2.32,2028,2395,1.48,1,1,3,7,1874,205,122034,52.78,-114.4,2106,7436,1,64,608844,50,54
3,2.5,2830,6000,1.0,0,3,3,9,1730,1100,122064,52.8051,-114.568,2040,5300,2,58,713414,70,70
4,2.25,2300,4600,1.5,0,0,4,7,1340,960,122054,52.8195,-114.501,1540,3000,2,76,350000,120,120
3,2.1,1887,8882,1.45,1,1,3,7,1746,363,122032,52.71,-114.43,2080,13427,1,61,453445,57,60
3,2.0,2020,8555,1.0,0,0,4,7,1220,800,122022,52.9578,-114.477,1600,8148,2,72,458000,67,67
3,2.17,2221,18030,1.72,1,1,3,7,1806,325,122034,52.82,-114.44,1965,8487,1,65,997195,51,47
3,1.98,2219,16828,1.4,1,1,3,7,1747,255,122031,52.79,-114.4,2119,7398,2,62,930184,58,43
3,2.25,2119,21308,1.56,1,1,3,7,1639,307,122036,52.8,-114.4,2022,15634,2,65,937958,50,49
3,2.12,2216,31058,1.42,1,1,3,7,1925,247,122031,52.73,-114.42,1797,12649,1,64,539236,53,49
3,1.75,2330,12141,1.0,0,0,3,7,1390,940,122021,52.9907,-114.336,1850,12141,2,67,535000,41,41
3,2.05,2483,11612,1.33,1,1,3,7,1828,174,122032,52.82,-114.41,2004,14283,1,63,1124340,65,53
3,1.0,1080,8580,1.5,0,0,3,6,1080,0,122056,52.7016,-114.452,1800,12672,2,80,192500,124,124
3,3.5,4360,6240,2.0,0,3,3,10,2960,1400,122028,52.9091,-114.544,1920,3910,1,50,1560000,16,16
2,2.0,1540,7110,1.0,0,0,3,7,960,580,122007,52.9232,-114.585,1860,7065,3,80,495000,75,75
4,3.5,3930,16970,2.0,0,0,3,9,3930,0,122055,52.9712,-114.156,2740,17219,2,75,575000,27,27
5,3.75,4130,226076,2.0,0,0,3,9,3170,960,122037,52.945,-114.255,4130,55321,3,55,900000,39,39
3,1.75,1390,13200,2.0,0,0,3,7,1390,0,122025,52.6729,-113.961,1430,10725,3,57,290000,45,45
4,2.75,2530,7350,1.0,0,0,5,8,1280,1250,122018,52.543,-114.564,2280,7350,3,51,354950,47,47
3,1.95,2194,19283,1.46,1,1,3,7,1791,307,122033,52.78,-114.4,2077,3481,2,66,916200,51,44
5,2.5,2600,4641,2.0,0,0,3,7,2600,0,122046,52.6625,-114.336,2330,4589,1,55,316000,19,19
3,2.0,1130,9879,2.0,0,0,3,6,1130,0,122045,52.865,-114.154,1900,14907,2,79,340000,28,28
3,2.0,1770,9685,1.0,0,0,3,5,1770,0,122031,52.7053,-114.532,1520,11122,2,51,315000,76,76
2,1.75,1980,44550,2.0,0,1,5,7,1280,700,122069,52.6493,-114.634,1680,25343,3,52,428000,47,47
3,2.33,1969,15054,1.45,1,1,3,7,1721,166,122036,52.78,-114.4,2150,17908,1,64,571872,52,46
3,2.28,2348,13821,1.58,1,1,3,7,1927,294,122032,52.8,-114.41,1980,7239,2,66,989148,45,58
3,2.09,1985,19948,1.42,1,1,3,7,1613,248,122032,52.74,-114.41,2103,15217,1,65,519700,50,51
5,5.0,4930,14649,2.0,0,3,3,11,4160,770,122057,52.8129,-114.437,3030,8479,1,77,1700000,24,24
3,2.15,1812,9466,1.5,1,1,3,7,1919,348,122034,52.77,-114.45,1951,17104,2,66,520306,55,52
3,2.15,2091,5492,1.49,1,1,3,7,1687,362,122035,52.74,-114.38,1974,5565,1,66,537815,53,47
3,2.25,2154,17235,1.52,1,1,3,8,1675,367,122033,52.84,-114.4,2036,9483,1,67,1124326,51,51
3,2.02,2071,10446,1.42,1,1,3,7,1529,244,122032,52.82,-114.41,1978,12372,1,65,924101,56,54
4,3.75,3180,9889,2.0,0,0,3,9,2500,680,122010,52.9153,-114.394,2910,8558,1,69,1150000,12,12
3,1.96,2102,13385,1.48,1,1,3,7,1874,383,122032,52.79,-114.4,1966,10401,2,65,859939,65,51
4,4.25,4850,12445,2.0,1,4,5,10,3850,1000,122033,52.9311,-114.434,3350,12210,3,70,3000000,35,35
3,2.35,1991,17881,1.47,1,1,3,7,1792,194,122034,52.8,-114.41,2211,5961,1,63,669196,56,45
3,2.5,1600,26977,2.0,0,0,3,8,1600,0,122055,53.0036,-114.091,1790,27743,2,52,330000,19,19
4,2.5,2690,4736,2.0,0,0,3,7,2690,0,122045,52.9169,-114.226,2690,4791,3,71,608000,23,23
3,2.0,1980,2674,3.0,0,0,3,8,1980,0,122016,52.7824,-114.572,1440,2674,3,52,435000,17,17
2,1.0,1350,10096,1.0,0,2,4,7,1350,0,122025,52.7267,-113.968,1280,10095,2,80,276900,72,72
3,2.5,2640,13775,1.0,0,0,3,8,1550,1090,122049,52.8175,-114.367,2120,12432,2,79,530000,46,46
3,2.19,2168,23643,1.61,1,1,3,7,2053,387,122033,52.79,-114.44,2032,7910,1,63,910934,50,50
7,8.0,13540,307752,3.0,0,4,3,12,9410,4130,122045,52.8975,-114.176,4850,217800,1,55,2280000,25,25
3,2.21,2418,21450,1.59,1,1,3,7,1709,328,122035,52.79,-114.42,1980,12524,2,64,1004618,58,49
4,1.0,1060,5750,1.0,0,0,3,6,950,110,122032,52.8862,-114.579,1790,5857,3,55,403504,120,120
3,2.25,1440,5150,2.0,0,0,3,7,1440,0,122034,52.7756,-114.546,1530,5238,3,59,330000,27,27
3,2.5,1850,6676,2.0,0,0,3,7,1850,0,122018,52.5403,-114.55,1700,6663,2,50,268000,38,38
4,4.5,3080,10550,2.0,0,3,3,8,1940,1140,122057,52.8106,-114.434,2780,10550,2,58,1400000,48,17
3,2.05,2130,18486,1.68,1,1,3,7,1691,264,122033,52.82,-114.34,1916,470,1,65,943029,50,52
4,3.75,2130,34689,1.5,1,4,3,9,2130,0,122016,52.7789,-114.588,3030,28598,1,60,1340000,69,69
5,2.25,2630,8625,2.0,0,0,3,8,2630,0,122066,52.5919,-114.477,1880,8670,1,52,320000,58,58
3,1.75,1890,7004,1.0,0,0,3,7,1290,600,122051,52.7857,-114.47,1440,5378,1,67,465500,59,59
4,2.5,5730,44947,2.0,0,4,3,11,4280,1450,122019,52.8352,-114.254,3310,17628,1,72,1230000,33,33
4,1.75,1820,14319,1.0,0,0,4,7,1820,0,122015,52.7057,-114.338,1440,10018,1,77,331500,55,55
3,1.91,1863,21482,1.63,1,1,3,7,1728,286,122033,52.79,-114.41,1763,13282,2,66,540834,44,53
3,1.5,1900,43186,1.5,0,0,4,7,1300,600,122024,52.6499,-114.18,2080,108028,3,65,427500,53,53
3,2.33,2134,13818,1.48,1,1,3,7,1710,291,122030,52.79,-114.38,2008,14378,2,67,922015,49,49
4,2.75,2510,12500,1.0,0,0,5,8,2050,460,122005,52.8578,-114.3,2200,12088,2,66,704000,48,48
3,2.23,2157,23039,1.57,1,1,3,7,2124,279,122034,52.78,-114.38,1987,15897,2,64,926059,55,54
4,1.5,1280,7400,1.0,0,0,3,7,1280,0,122029,52.8323,-114.313,1310,7400,3,64,367400,66,66
3,1.5,970,8400,1.0,0,0,3,7,970,0,122040,52.5584,-114.521,1230,8400,2,58,155000,58,58
3,2.14,2214,18697,1.49,1,1,3,7,1859,338,122030,52.78,-114.39,2009,18975,2,66,961483,60,58
4,1.5,2500,9448,1.0,0,0,4,7,1250,1250,122034,52.7512,-114.529,1640,9490,3,68,330000,58,58
3,1.5,1890,9000,1.0,0,0,3,7,1190,700,122070,52.6725,-114.462,2060,9000,1,57,240000,65,65
2,1.0,800,4850,1.0,0,0,4,7,800,0,122026,52.8939,-114.554,1150,4365,2,60,440000,80,80
4,2.5,2300,7989,2.0,0,0,3,9,2300,0,122019,52.8573,-114.224,2280,8835,2,73,560000,34,34
3,2.07,2019,22810,1.48,1,1,3,7,1628,334,122032,52.78,-114.38,1966,21085,2,65,598589,64,51
3,2.5,1690,1479,3.0,0,0,3,8,1420,270,122044,52.8322,-114.501,1280,1253,3,71,492000,19,19
3,2.5,1660,8125,1.0,0,0,3,7,1150,510,122060,52.6673,-114.523,1250,8125,3,57,295000,25,25
3,2.5,2400,7478,2.0,0,0,3,9,2400,0,122055,52.9662,-114.164,2980,8182,3,57,489950,22,22
3,1.0,1640,12384,1.0,0,0,4,7,1090,550,122040,52.5556,-114.488,1550,11200,2,54,253500,70,70
4,4.5,5120,41327,2.0,0,0,3,10,3290,1830,122045,52.9309,-114.249,3360,82764,3,65,1240000,16,16
3,2.16,2006,4479,1.52,1,1,3,7,1696,100,122032,52.8,-114.38,2198,15581,2,63,682632,61,56
3,2.21,2310,22381,1.53,1,1,3,7,1834,367,122036,52.79,-114.42,2191,15858,2,64,1006828,42,52
3,2.01,1862,10140,1.52,1,1,3,7,1958,247,122035,52.75,-114.36,2111,9797,2,66,483176,46,47
3,1.5,1380,4290,1.0,0,0,3,7,1080,300,122026,52.904,-114.569,1510,3900,3,59,525000,69,69
3,2.5,1870,8541,2.0,0,0,3,8,1870,0,122018,52.5225,-114.536,2150,7789,2,80,299990,35,35
2,1.0,1300,11400,1.0,0,0,3,7,1300,0,122040,52.5759,-114.489,1360,9750,1,51,170000,63,63
3,1.85,2144,11130,1.36,1,1,3,7,1767,315,122030,52.82,-114.41,2058,19292,1,63,1013295,52,51
4,2.75,3710,7984,2.0,0,0,3,9,3710,0,122008,52.7652,-114.058,2950,7984,3,77,692500,25,25
3,2.1,2051,11350,1.45,1,1,3,7,1809,196,122038,52.81,-114.37,2041,3660,2,63,876591,49,51
4,2.5,2000,10051,2.0,0,0,3,7,2000,0,122024,52.5925,-114.215,2000,6686,1,50,320000,27,27
4,2.5,2600,11280,1.5,0,0,3,7,1570,1030,122040,52.566,-114.494,1660,11200,3,56,252500,63,63
5,3.25,3730,10626,1.0,0,4,4,10,3730,0,122048,52.854,-114.411,4180,19110,2,67,2540000,61,61
3,2.18,2161,22770,1.44,1,1,3,7,1738,256,122022,52.84,-114.42,2106,9056,1,64,1021001,56,55
4,2.75,3330,9143,2.0,0,0,4,10,3330,0,122010,52.9121,-114.38,2390,9143,1,71,1100000,29,29
3,2.08,2180,16439,1.42,1,1,3,7,1934,237,122030,52.78,-114.37,2033,11172,2,64,936626,56,45
3,2.21,2247,13020,1.4,1,1,3,7,2181,332,122033,52.79,-114.37,2057,16505,2,65,964743,51,51
3,2.0,1970,14450,1.3,1,1,3,7,2008,396,122034,52.78,-114.43,1861,19534,2,64,555830,54,43
5,3.75,3090,7415,2.0,0,0,3,8,3090,0,122031,52.665,-114.519,2790,7425,2,54,540500,10,10
2,1.5,1240,1101,2.0,0,0,3,8,1080,160,122054,52.8058,-114.499,1530,1209,2,50,403000,15,15
2,1.0,940,8997,1.0,0,0,5,7,940,0,122068,52.4305,-114.189,1110,9126,2,56,219950,69,69
3,1.75,1470,6682,1.0,0,0,3,7,1470,0,122033,52.9615,-114.416,1790,7379,1,50,400000,37,37
5,2.75,3240,6863,2.0,0,0,3,10,3240,0,122053,52.7333,-114.383,2360,6002,1,58,719950,11,11
3,1.75,1680,7770,1.0,0,0,4,7,1680,0,122049,52.8328,-114.357,1880,7770,2,60,530000,57,57
4,1.75,2320,9240,1.0,0,0,3,7,1160,1160,122063,52.7209,-114.447,2130,7320,2,52,324950,65,10
4,1.75,1520,15398,1.0,0,0,4,7,1370,150,122012,52.7565,-114.24,1840,12500,2,69,533250,64,64
4,2.5,1780,3600,2.0,0,0,3,7,1780,0,122024,52.5965,-114.207,2020,3802,1,53,296000,18,18
4,3.25,4110,15488,2.0,0,2,3,11,4110,0,122027,52.7793,-114.307,4190,14973,3,64,935000,29,29
4,3.0,4410,5104,2.0,0,0,3,9,3400,1010,122008,52.7692,-114.051,4390,5537,3,57,765000,18,18
3,2.39,1992,18537,1.6,1,1,3,7,1729,245,122026,52.8,-114.37,1852,7180,1,63,597631,55,48
4,2.25,2460,40635,1.0,0,0,5,8,2460,0,122045,52.8927,-114.222,2250,40635,1,63,715000,56,56
3,2.37,2044,18075,1.59,1,1,3,7,2172,250,122026,52.79,-114.4,1960,10057,1,62,829287,61,51
3,2.12,2191,10655,1.49,1,1,3,7,1922,372,122033,52.83,-114.43,1857,10669,1,63,985323,45,53
4,2.5,2150,3721,2.0,0,0,3,8,2150,0,122072,52.5663,-114.407,2150,3721,3,71,260000,18,18
3,2.37,2105,19952,1.45,1,1,3,8,1981,266,122029,52.8,-114.4,2037,13586,2,67,1076371,55,45
2,1.0,770,11250,1.0,0,0,3,7,770,0,122044,52.8402,-114.489,960,4800,1,64,497000,106,106
3,2.07,2155,9647,1.56,1,1,3,7,1904,319,122033,52.77,-114.42,2097,13020,1,66,921713,60,53
3,2.5,2960,18600,2.0,0,0,3,8,2960,0,122031,52.6658,-114.534,2740,15681,1,65,605000,45,45
3,2.05,2252,24970,1.48,1,1,3,7,1813,162,122035,52.79,-114.38,2066,13274,1,67,961509,63,48
3,2.13,1972,20296,1.52,1,1,3,7,1724,371,122031,52.77,-114.42,1792,14802,1,63,525283,42,50
4,3.25,2720,4000,2.0,0,1,3,10,2070,650,122051,52.7854,-114.457,1450,4000,1,62,846000,10,10
4,2.75,2700,37011,2.0,0,0,3,9,2700,0,122035,52.5796,-114.278,2700,37457,1,60,385000,40,40
3,2.25,2680,100188,2.0,0,0,4,8,1580,1100,122012,52.7076,-114.21,2540,60548,1,64,575000,46,46
4,2.25,2920,5000,2.0,0,0,4,9,2260,660,122047,52.868,-114.48,4510,9248,2,63,1740000,87,87
3,2.5,1790,6191,2.0,0,0,3,8,1790,0,122067,52.6402,-114.385,1790,6758,2,77,250000,32,32
2,2.0,1070,8400,1.0,0,0,4,7,1070,0,122067,52.6314,-114.376,1430,8190,2,66,217500,44,44
3,2.75,2020,9505,1.0,0,0,3,7,1260,760,122017,52.9699,-114.387,2080,11901,2,70,401000,55,55
3,2.2,2178,10479,1.54,1,1,3,7,1974,337,122029,52.81,-114.41,1929,16093,2,61,999285,52,49
5,2.75,2910,5802,2.0,0,0,3,7,2910,0,122024,52.5891,-114.226,2910,5000,2,57,410000,18,18
3,2.14,2134,6619,1.57,1,1,3,7,1825,266,122036,52.81,-114.38,1985,12168,2,65,968921,46,57
3,1.94,2241,12018,1.43,1,1,3,7,1879,275,122034,52.8,-114.44,2023,17483,2,64,973340,46,52
